obs_ID,study_ID,C_mean,C_sd,C_n,T_mean,T_sd,T_n
obs001,Ryser-Degiorgis et al,45,4,10,21,8,7
obs002,Galindo & Krebs,5.14,1.95,7,7,5,7
obs003,Steen et al,2.67,2.8,6,4.33,3.14,6
obs004,Steen et al,15.5,3.78,6,15,5.29,6
obs005,Forsyth & Hickling,3.52,3.48,27,1.87,1.9,17
obs006,Forsyth & Hickling,1.44,4.29,9,0.53,0.49,17
obs007,Vial et al,5901,6571.8,3,6048.36,5911.47,3
obs008,Vial et al,196.72,340.73,3,983.61,1703.66,3
obs009,Vial et al,275.34,73.11,3,474.48,314.18,3
obs010,Rtiman et al,0.21,0.15,26,0.26,1.33,44
obs011,Loe et al,8,11.02,3,4,2.89,3
obs012,Heske & Steen,54.67,13.8,3,68.83,36.45,6
obs013,Heske & Steen,33,4.36,3,54.67,13.8,6
obs014,By et al,3.41,2.76,141,3.44,2.89,359
obs015,Austrheim et al,3.39,4.17,100,4.75,4.74,100
